Task,LShoulderRoll,LShoulderPitch,RShoulderRoll,RShoulderPitch,HeadYaw,HeadPitch,LElbowRoll,RElbowRoll,Land,RHand
1,0.78100,0.97299,-0.50557,1.52123,-0.22353,0.08462,-0.0349,0.03522,1,1
2,0.67485,2.0857,-0.50236,1.54406,-0.12148,0.04723,-0.0349,0.39134,1,1
3,0.41881,2.08570,-0.48395,1.72524,0.62776,-0.07410,-0.03490,0.57407,1,1
4,0.49244,2.08570,-0.49926,1.53737,-0.18679,0.51490,-0.03490,0.41584,1,1
